School Name,City,Country,URL
British International School Casablanca,Casablanca,Morocco,
British International School of Casablanca,Casablanca,Morocco,
Casablanca American School,Casablanca,Morocco,
EFI - Ecole Francaise Internationale Casablanca,Casablanca,Morocco,
Ecole Belge de Casablanca,Casablanca,Morocco,
French International school Casablanca,Casablanca,Morocco,
George Washington Academy,Casablanca,Morocco,
Groupe Scolaire la Résidence,Casablanca,Morocco,
International School of Morocco,Casablanca,Morocco,
Khalil Gibran School,Rabat,Morocco,
London Academy Casablanca,Casablanca,Morocco,
Lycée Lyautey,Casablanca,Morocco,
Newton International School,,Morocco,
Rabat American School,,Morocco,
The American School of Marrakesh,Marrakesh,Morocco,
École Internationale de Casablanca,Casablanca,Morocco,
American International School of Mozambique,,Mozambique,
Enko Riverside International School,,Mozambique,
Maputo International School,Maputo,Mozambique,
Rocha Firme Academy,Maputo,Mozambique,
American International School Yangon,Yangon,Myanmar,
Ayeyarwaddy International School,,Myanmar,
Brainworks Total International School,Yangon,Myanmar,
Brainworks Total International School Yangon,Yangon,Myanmar,
Dulwich College Yangon,Yangon,Myanmar,
Dulwich College Yangon - Pun Hlaing Campus,Yangon,Myanmar,
Dulwich College Yangon - Star City Campus,Yangon,Myanmar,
Future Kidz International School,Yangon,Myanmar,
International School of Myanmar,Yangon,Myanmar,
Khayay International School,Yangon,Myanmar,
Myanmar International School,Yangon,Myanmar,
Myanmar International School Yangon,Yangon,Myanmar,
Myanmar International School Yangon (MISY),Yangon,Myanmar,
Network International School,Yangon,Myanmar,
Pride International School Myanmar,Yangon,Myanmar,
Promise - An International School,Yangon,Myanmar,
Royal British International School,Yangon,Myanmar,
SKT International College,Yangon,Myanmar,
Shu Khinn Thar International College,Yangon,Myanmar,
Thalun International School,Yangon,Myanmar,
The British School Yangon,Yangon,Myanmar,
The International School Yangon,Yangon,Myanmar,
Yangon Academy International School,Yangon,Myanmar,
Yangon American International School,Yangon,Myanmar,
Windhoek International School,,Namibia,
"Lincoln School, Nepal",Kathmandu,Nepal,
Premier International School,,Nepal,
American School of The Hague,Rotterdam / The Hagu,Netherlands,
Amstelland International School,Amsterdam,Netherlands,
DENISE- De Nieuwe Internationale School Esprit,,Netherlands,
Eerde International Boarding School,,Netherlands,
Eerde International Boarding School Netherlands,Ommen,Netherlands,
Florencius International School,Amsterdam,Netherlands,
German International School The Hague,Rotterdam / The Hagu,Netherlands,
"Haagsche Schoolvereeniging, International Department",The Hague,Netherlands,
IKC De Eglantier,Delft,Netherlands,
Indonesian School of The Hague,Rotterdam / The Hagu,Netherlands,
International Primary School Almere,Amsterdam,Netherlands,
International School Almere,Amsterdam,Netherlands,
International School Breda,,Netherlands,
International School Delft,Rotterdam / The Hagu,Netherlands,
International School Groningen,Groningen,Netherlands,
International School Het Rijnlands Lyceum Oegstgeest,Rotterdam / The Hagu,Netherlands,
International School Hilversum 'Alberdingk Thijm',Hilversum,Netherlands,
International School Hilversum Alberdingk Thijm,Amsterdam,Netherlands,
International School Laren,Amsterdam,Netherlands,
International School Utrecht,Amsterdam,Netherlands,
International School Wassenaar - Rijnlands Lyceum,Rotterdam / The Hagu,Netherlands,
Laar & Berg,Laren,Netherlands,
Lycee Francais Vincent Van Gogh,Rotterdam / The Hagu,Netherlands,
Nord Anglia International School Rotterdam,Rotterdam / The Hagu,Netherlands,
Rotterdam International Secondary School,Rotterdam / The Hagu,Netherlands,
The British School of Amsterdam,Amsterdam,Netherlands,
The International School of Amsterdam,Amsterdam,Netherlands,
The International School of The Hague,The Hague,Netherlands,
Winford Bilingual Primary School,Amsterdam,Netherlands,
International School of Curacao,Curacao,Netherlands Antilles,
The Curacao American Preparatory School,Curacao,Netherlands Antilles,
ACG Parnell College,Auckland,New Zealand,
ACG Senior College,Auckland,New Zealand,
ACG Strathallan,Auckland,New Zealand,
Auckland Girls' Grammar School,Auckland,New Zealand,
Auckland Grammar School,Auckland,New Zealand,
Auckland International College,,New Zealand,
Bay of Islands International Academy,,New Zealand,
Diocesan School for Girls,Auckland,New Zealand,
Epsom Girls Grammar School,Auckland,New Zealand,
Kristin School,Auckland,New Zealand,
Macleans College,Auckland,New Zealand,
Pinehurst School,Auckland,New Zealand,
Rangitoto College,Auckland,New Zealand,
Scots College,Wellington,New Zealand,
Westlake Boys' High School,Auckland,New Zealand,
American Nicaraguan School,Managua,Nicaragua,
Colegio AlemÃ¡n NicaragÃ¼ense,Managua,Nicaragua,
Notre Dame International School,,Nicaragua,
American International School of Niamey,Niamey,Niger,
Abuja Preparatory School,Abuja,Nigeria,
Adorable British College,Enugu,Nigeria,
Aduvie International School,Abuja,Nigeria,
Africa International College,Abuja,Nigeria,
American International School of Abuja,Abuja,Nigeria,
American International School of Lagos,Lagos,Nigeria,
Atlantic Hall,Lagos,Nigeria,
Avi-Cenna International School,Lagos,Nigeria,
Avi-cenna International School,Lagos,Nigeria,
Banana Island International School,Lagos,Nigeria,
Banana Island School,Lagos,Nigeria,
Benford International School,Abuja,Nigeria,
Bloombreed High School,Port Harcourt,Nigeria,
Bridge House College,Lagos,Nigeria,
British International School,Lagos,Nigeria,
British Nigerian Academy,,Nigeria,
Broadoaks British School,Abuja,Nigeria,
Brookstone School,Port Harcourt,Nigeria,
CIS Lagos,Lagos,Nigeria,
Caleb British International School,Lagos,Nigeria,
Canadian International School,Lagos,Nigeria,
Canterbury International Schools,Lagos,Nigeria,
Capital Science Academy,Abuja,Nigeria,
Center for Teaching & Learning Academy,Abuja,Nigeria,
Charterhouse Lagos,Lagos,Nigeria,
Children's International School,Lagos,Nigeria,
Children's International School (CIS) Lagos,Lagos,Nigeria,
"Corona School, Gbagada",Lagos,Nigeria,
"Corona School, Ikoyi",Lagos,Nigeria,
"Corona School, Lekki",Lagos,Nigeria,
"Corona School, Victoria Island",Lagos,Nigeria,
Corona Schools Trust Council,Lagos,Nigeria,
Corona Secondary School Agbara,Lagos,Nigeria,
Cradle to Crayon School,Abuja,Nigeria,
"Day Waterman College, Nigeria",Lagos,Nigeria,
Delightsomeland School,Lagos,Nigeria,
"Divine Royal International School, NKPOR",Anambra,Nigeria,
Dowen College Lagos,Lagos,Nigeria,
Edgewood College,Lagos,Nigeria,
Emerald Schools,Lagos,Nigeria,
Funtaj International School,Abuja,Nigeria,
Grange School,Lagos,Nigeria,
Greensprings School Lagos,Lagos,Nigeria,
Greenwood House School,Lagos,Nigeria,
Grenville Schools,Lagos,Nigeria,
Halifield Schools,Lagos,Nigeria,
Hampton Preparatory School,Lagos,Nigeria,
Ibadan International School,,Nigeria,
Inspire Academy,Abuja,Nigeria,
International Community School Abuja,Abuja,Nigeria,
"International Community School, Abuja",Abuja,Nigeria,
International School of IITA,Ibadan,Nigeria,
Italian International School Enrico Mattei,Lagos,Nigeria,
James Hope College,Delta State,Nigeria,
KAD Academy,Kaduna,Nigeria,
Kaduna International School,Kaduna,Nigeria,
Kaduna International school,Kaduna,Nigeria,
Lagos Preparatory & Secondary School,Lagos,Nigeria,
Lagos Preparatory School,Nigeria,Nigeria,
Lagos Preparatory and Secondary School,Lagos,Nigeria,
Landmark College,Lagos,Nigeria,
Lekki British International Schools,Lagos,Nigeria,
Lekki British School,Lagos,Nigeria,
"Lifeforte International High School, Ibadan",Ibadan,Nigeria,
Loyola Jesuit College,Abuja,Nigeria,
MICTEC International Schools,Lagos,Nigeria,
Marymount School,Lagos,Nigeria,
Meadow Hall,Lagos,Nigeria,
Meadow Hall School,Lagos,Nigeria,
New Hall International Schools,Lagos,Nigeria,
Noble Hall Leadership Academy For Girls,Abuja,Nigeria,
Noble Hall Leadership Academy for Girls,Abuja,Nigeria,
Oakland International British School,Abuja,Nigeria,
Oakland School Abuja,Abuja,Nigeria,
Ocean Crest School,Lagos,Nigeria,
Oxbridge Tutorial College,Lagos,Nigeria,
Pampers Private School,Lagos,Nigeria,
Queensland Academy,Lagos,Nigeria,
Rainbow College,Lagos,Nigeria,
Readington School,Lagos,Nigeria,
Redeemer's International Secondary School,Lagos,Nigeria,
Redeemers International Secondary School,Lagos,Nigeria,
Rosemore House International School,Lagos,Nigeria,
St Saviour's School,Lagos,Nigeria,
St Saviours Ikoyi,Lagos,Nigeria,
St. Saviours School Ikoyi,Lagos,Nigeria,
Start Rite School,Abuja,Nigeria,
Start-Rite Schools,Abuja,Nigeria,
Temple School,Lagos,Nigeria,
"The British International School, Lagos",Lagos,Nigeria,
The International School of IITA,,Nigeria,
The Netherlands International School Lagos,Lagos,Nigeria,
The Priory Preparatory School,Lagos,Nigeria,
The Regent School Abuja,Abuja,Nigeria,
The Regent Secondary School,Abuja,Nigeria,
The RiverBank School,Lagos,Nigeria,
Thomas Adewumi International College,Lagos,Nigeria,
Vivian Fowler Memorial College for Girls,Lagos,Nigeria,
Woodentods International School,Abuja,Nigeria,
A+ World Academy,Kristiansand,Norway,
Aalesund International School,Aalesund,Norway,
Arendal International School,,Norway,
British International School Stavanger,Stavanger,Norway,
British International School of Stavanger,Stavanger,Norway,
British International Schools of Stavanger,,Norway,
Children's International School Fredrikstad,,Norway,
Haugesund International School,,Norway,
International School Telemark,,Norway,
International School of Bergen,,Norway,
International School of Stavanger,,Norway,
Kristiansand International School,,Norway,
Oslo International School,,Norway,
Skagerak International School,,Norway,
The International School of Stavanger,Stavanger,Norway,
Tromsø International School,,Norway,
A'soud Global School,Muscat,Oman,
ABA Oman International School,Muscat,Oman,
Al Batinah International School,,Oman,
Al Injaz Private School,Muscat,Oman,
Al Sahwa School,Muscat,Oman,
Al Sahwa Schools,Muscat,Oman,
Al Shomoukh International School,Muscat,Oman,
Al-Ibdaa International School,Muscat,Oman,
American Lyceum International School,Muscat,Oman,
American-British Academy,MUSCAT,Oman,
Apple Green Private School,Muscat,Oman,
As Seeb International School,Muscat,Oman,
Azzan Bin Qais International School,Muscat,Oman,
Bangladesh School Muscat,Muscat,Oman,
Beaconhouse Private School,Muscat,Oman,
British School Muscat,Muscat,Oman,
British School Salalah,Salalah,Oman,
Cheltenham Muscat,Muscat,Oman,
Down House Muscat,Muscat,Oman,
Future Pioneers Private School,Nizwa,Oman,
Gulf International School,Muscat,Oman,
Hay Al Sharooq International School,Sur,Oman,
Indian School Al Wadi Al Kabir,Muscat,Oman,
Indian School Muscat,Muscat,Oman,
International School of Oman,Muscat,Oman,
Knowledge Gate International School,Muscat,Oman,
Lycée Francais de Mascate,Muscat,Oman,
Muscat International School,Muscat,Oman,
MySchool Oman,Muscat,Oman,
Oman Private School,Muscat,Oman,
OurPlanet International School,Muscat,Oman,
OurPlanet International School Muscat,Muscat,Oman,
Royal Flight School,Muscat,Oman,
Salalah International School,Salalah,Oman,
Sohar International School,Sohar,Oman,
TLC International School,Muscat,Oman,
The American International School of Muscat,Muscat,Oman,
The International School of Choueifat - Muscat,Muscat,Oman,
The International School of Choueifat-Muscat,Muscat,Oman,
The Sultan's School,Muscat,Oman,
Angels International College,,Pakistan,
British Overseas School of Karachi,,Pakistan,
Lahore Grammar School International,,Pakistan,
Learning Alliance International,,Pakistan,
Links School,Karachi,Pakistan,
Roots Ivy International School,,Pakistan,
Roots Ivy International School - Faisalabad,,Pakistan,
Roots Ivy International School DHA Phase V Lahore,,Pakistan,
Sheikh Zayed International Academy-Islamabad,,Pakistan,
The International School,,Pakistan,
Al Mustaqbal School,Ramallah,Palestinian Territory,
Rawabi English Academy,Rawabi,Palestinian Territory,
Caribbean International School,Colon,Panama,
Colegio Alemán Nikolas Kopernikus,Panama City,Panama,
Crossroads Christian Academy,Panama City,Panama,
Howard Academy,Panama City,Panama,
International School of Panama,Panama City,Panama,
King's College The British School of Panama,Panama City,Panama,
Knightsbridge Schools International Panama,Panama City,Panama,
Magen David Academy,Panama City,Panama,
Metropolitan School of Panama,Panama City,Panama,
Oxford International School,Panama City,Panama,
Panama Prep International School,Panama City,Panama,
SABISÂ® International School - Costa Verde,La Chorrera,Panama,
Sabis International School Costa Verde,Panama City,Panama,
The International School of Panama,Panama City,Panama,
The Oxford School,Panama City,Panama,
United School of Panama,Panama City,Panama,
Koroboro International School,Boroko,Papua New Guinea,
Port Moresby International School,,Papua New Guinea,
The Ela Murray International School,Port Moresby,Papua New Guinea,
Ukarumpa International School,Goroka,Papua New Guinea,
American School of Asuncion,Asuncion,Paraguay,
American School,,Peru,
Andino Cusco International School,,Peru,
Cambridge College,Lima,Peru,
Cambridge College Lima,Lima,Peru,
Casuarinas International College,Lima,Peru,
Colegio Alpamayo,Lima,Peru,
Colegio Anglo Americano Prescott,,Peru,
"Colegio Franklin Delano Roosevelt, The American School of Lima",Lima,Peru,
Colegio Italiano Antonio Raimondi,Lima,Peru,
Colegio Peruano Aleman Beata Imelda,Lima,Peru,
Colegio Peruano Britanico,Lima,Peru,
Colegio Pestalozzi (Swiss School),Lima,Peru,
Davy College,Cajamarca,Peru,
"Hiram Bingham, The British International School of Lima",Lima,Peru,
Institución Educativa Privada Euroamerican College,,Peru,
International Christian School of Lima,Lima,Peru,
Lycée Franco Péruvien,Lima,Peru,
Markham College,Lima,Peru,
Monterrico Christian School,Lima,Peru,
Montessori International College,,Peru,
Newton College,Lima,Peru,
Peruvian North American Abraham Lincoln School,Lima,Peru,
San Silvestre School,Lima,Peru,
San Silvestre school,Lima,Peru,
Sir Alexander Flemming College,Trujillo,Peru,
St George's College,Lima,Peru,
St. George's College,Lima,Peru,
Villa Per Se,Lima,Peru,
Aguinaldo International School,Manila,Philippines,
Australian International School,Manila,Philippines,
Benedictine International School,Manila,Philippines,
Brent International School - Baguio,,Philippines,
Brent International School Manila,Manila,Philippines,
Brent International School Subic,,Philippines,
Britesparks International School,Manila,Philippines,
CIE British School,Manila,Philippines,
Cebu International School,,Philippines,
Domuschola International School,Manila,Philippines,
Eton International School,Manila,Philippines,
"Faith Academy, Inc.",,Philippines,
Fountain International School,Manila,Philippines,
German European School Manila,Manila,Philippines,
Global Leaders International School,Manila,Philippines,
International British Academy,Manila,Philippines,
International School Manila,Manila,Philippines,
Leaders International Christian School of Manila,Manila,Philippines,
Life Academy International,Manila,Philippines,
Lycée Francais de Manille,Manila,Philippines,
MIT International School,Manila,Philippines,
Multiple Intelligence IS Foundation Inc.,Quezon City,Philippines,
Multiple Intelligence International School,Manila,Philippines,
Noblesse International School,,Philippines,
Nord Anglia International School Manila,Manila,Philippines,
Reedley International School,Manila,Philippines,
Saint Jude Catholic School,Manila,Philippines,
Saint Paul American School Clark,Clark Freeport Zone,Philippines,
Singapore School Manila,Manila,Philippines,
South Mansfield College,Manila,Philippines,
Southville International School and Colleges,Manila,Philippines,
St. Gabriel International School,Manila,Philippines,
Starland International School,Manila,Philippines,
The Beacon Academy,Manila,Philippines,
The Beacon School,Manila,Philippines,
The British School - Manila,,Philippines,
The British School Manila,Manila,Philippines,
Victory Christian International School,Manila,Philippines,
Xavier School,Manila,Philippines,
Akademeia High School,Warsaw,Poland,
British International School Wroclaw,Wroclaw,Poland,
British International School of Cracow,,Poland,
British International School of The University of Lodz,Lodz,Poland,
British Primary School of Wilanow,Warsaw,Poland,
Edison Primary School,Warsaw,Poland,
Embassy International School,Krakow,Poland,
International American School of Warsaw,Warsaw,Poland,
International High School of Wroclaw,,Poland,
International Primary School,,Poland,
International School of Bydgoszcz,,Poland,
International School of Gdansk,,Poland,
International School of Krakow,,Poland,
International School of Poznan,,Poland,
International Trilingual School of Warsaw,Warsaw,Poland,
Meridian International Schools,Warsaw,Poland,
Monnet International School,Warsaw,Poland,
Multischool International School,Warsaw,Poland,
Open Future International School,,Poland,
The British School Warsaw,Warsaw,Poland,
"The British School, Warsaw",Warsaw,Poland,
The Canadian School of Warsaw,Warsaw,Poland,
The English Primary,Warsaw,Poland,
The International School Warsaw,Warsaw,Poland,
Vancouver Schools,Warsaw,Poland,
Warsaw Montessori Family,Warsaw,Poland,
Willy-Brandt Schule Warschau,Warsaw,Poland,
Wroclaw International School,,Poland,
Aljezur International School,Algarve,Portugal,
Aprendizes,Lisbon,Portugal,
Astoria International School,Lisbon,Portugal,
CLIB - The Braga International School,Braga,Portugal,
CLIP Colegio Luso-Internacional Do Porto,Porto,Portugal,
Carlucci American International School of Lisbon,Lisbon,Portugal,
Colégio Santiago Internacional,Algarve,Portugal,
Deutsche Schule Algarve,Algarve,Portugal,
Deutsche Schule Lissabon,Lisbon,Portugal,
Deutsche Schule zu Porto,Porto,Portugal,
Eden Montessori International School,Algarve,Portugal,
Eupheus International School Algarve,Algarve,Portugal,
Greene's  Tutorial College,Lisbon,Portugal,
International Christian School of Cascais,Lisbon,Portugal,
International Preparatory School,Lisbon,Portugal,
International Sharing School,,Portugal,
International Sharing School - Madeira,Madeira,Portugal,
International Sharing School - TagusPark,Lisbon,Portugal,
International Sharing School Taguspark,Lisbon,Portugal,
Jill's Place,Lisbon,Portugal,
Lisbon Montessori School,Lisbon,Portugal,
Lycée Francais International Porto,Porto,Portugal,
Nederlands Onderwijs Algarve Portugal,Algarve,Portugal,
Oeiras International School,Lisbon,Portugal,
Oporto British School,Porto,Portugal,
PaRK International School,Lisbon,Portugal,
Redbridge School,Lisbon,Portugal,
Saint Dominic's International School,,Portugal,
Santo António International School,Lisbon,Portugal,
Sintra International Christian Academy,Lisbon,Portugal,
St Julian's School,Lisbon,Portugal,
St. Dominic's International School,Lisbon,Portugal,
St. George's School,Lisbon,Portugal,
St. Julian's School,Lisbon,Portugal,
St. Peter's International School,,Portugal,
TASIS Portugal,Lisbon,Portugal,
The Algarve International School,Algarve,Portugal,
Vilamoura International School,Algarve,Portugal,
ACS Doha International School,Doha,Qatar,
ACS International School Doha,,Qatar,
Al Bayan Educational Complex for Girls,Doha,Qatar,
Al Khor International School,Doha,Qatar,
Al Maha Academy For Boys,Doha,Qatar,
Al Maha Academy For Girls,Doha,Qatar,
Al Mahd International School,Doha,Qatar,
Al Wataniya International School,Doha,Qatar,
Al-Arqam Academy,Doha,Qatar,
Alpha Cambridge School,Doha,Qatar,
American School of Doha,Doha,Qatar,
Amjad International Academy,Doha,Qatar,
Arab International Academy,Doha,Qatar,
Aspire Academy School,Doha,Qatar,
Awsaj Academy,Doha,Qatar,
Beta Cambridge School,Doha,Qatar,
Blyth Academy Qatar,Doha,Qatar,
Cambridge International School,Doha,Qatar,
Cardiff International School,Doha,Qatar,
Compass International School,,Qatar,
Compass International School Doha,Doha,Qatar,
"Compass International School, Doha",Doha,Qatar,
Deutsche Internationale Schule Doha,,Qatar,
Doha Academy,Doha,Qatar,
Doha British School,,Qatar,
Doha British School Ain Khaled,Doha,Qatar,
Doha British School Al Wakra,Doha,Qatar,
Doha British School Rawdat Al-Hamama,Doha,Qatar,
Doha College,Doha,Qatar,
Doha English Speaking School,Doha,Qatar,
Doha Modern Indian School,Doha,Qatar,
Dukhan English School,,Qatar,
"Edison International Academy, Aspire",Doha,Qatar,
Elite International School,Doha,Qatar,
GEMS American Academy Qatar,Doha,Qatar,
GEMS Wellington School Qatar,Doha,Qatar,
Galileo International School,Doha,Qatar,
German International School Doha,Doha,Qatar,
Gheras International School,Doha,Qatar,
Hayat Universal Bilingual School,Doha,Qatar,
Hayat Universal School,Doha,Qatar,
Hayat Universal School (HUBS) Qatar,Doha,Qatar,
International British School,Doha,Qatar,
"International School of London, Qatar",Doha,Qatar,
King's College Doha,,Qatar,
"King's College, Doha",Doha,Qatar,
Loydence Academy,Doha,Qatar,
Loyola International School,Doha,Qatar,
Lycee Franco-Qatarien Voltaire,Doha,Qatar,
M.E.S. Indian School of Doha,Doha,Qatar,
Mesaieed International School,,Qatar,
Michael E. Debakey High School,Doha,Qatar,
Middle East International School,Doha,Qatar,
Newton British Academy Al Dafna,Doha,Qatar,
Newton British Academy Barwa City,Doha,Qatar,
Newton British School Al Waab,Doha,Qatar,
Newton International Academy Barwa City,Doha,Qatar,
Newton International School D-Ring Road,Doha,Qatar,
Newton International School Lagoon,Doha,Qatar,
Newton International School West Bay,Doha,Qatar,
Noor Al Khaleej International School,Doha,Qatar,
Nord Anglia International School Al Khor,Doha,Qatar,
Olive International School,Doha,Qatar,
Oryx International School,Doha,Qatar,
"Oryx International School, Doha",,Qatar,
Oscar Academy,Doha,Qatar,
Oxford English School,Doha,Qatar,
Park House English School,Doha,Qatar,
Pearl School,Doha,Qatar,
Pearling Season International School,,Qatar,
Pearling Season International School of Doha,Doha,Qatar,
Qatar Academy,Doha,Qatar,
Qatar Academy Al Khor,Doha,Qatar,
Qatar Academy Al Wakra,Doha,Qatar,
Qatar Academy Al-Khor,Doha,Qatar,
Qatar Academy Msheireb,Doha,Qatar,
Qatar Academy Sidra,Doha,Qatar,
Qatar Academy for Science and Technology,Doha,Qatar,
Qatar Finland International School,Doha,Qatar,
Qatar International School,Doha,Qatar,
Qatar-Finland International School,Doha,Qatar,
Sherborne Qatar,Doha,Qatar,
Spectra Global School,Doha,Qatar,
Step One International School,Doha,Qatar,
Swiss International School in Qatar,Doha,Qatar,
The American School of Doha,,Qatar,
The Cambridge School,Doha,Qatar,
The Cambridge School Doha,Doha,Qatar,
The English Modern School,Doha,Qatar,
The English Modern School Doha,Doha,Qatar,
The English Modern School Khor,Doha,Qatar,
The English Modern School Wakra,Doha,Qatar,
The Gulf English School,Doha,Qatar,
The Hamilton International School,Doha,Qatar,
The International School of Choueifat - Doha,Doha,Qatar,
The International School of Choueifat – Doha,Doha,Qatar,
The Phoenix Private School,Doha,Qatar,
The Royal Grammar School Guildford,Doha,Qatar,
The Royal Grammar School Guildford In Qatar,Doha,Qatar,
"The Royal Grammar School, Guildford in Qatar",Doha,Qatar,
The Scholars' International School,Doha,Qatar,
University Foundation College,Doha,Qatar,
Academy International British Primary School,Port Harcourt,Republic of the Congo,
American International School of Brazzaville,Brazzaville,Republic of the Congo,
British International School of Timisoara,Timisoara,Romania,
British School of Bucharest,Bucharest,Romania,
Bucharest Christian Academy,Bucharest,Romania,
Cambridge School of Bucharest,Bucharest,Romania,
French International School of Bucharest,Bucharest,Romania,
International British School of Bucharest,Bucharest,Romania,
International School of Bucharest,Bucharest,Romania,
Ioanid International School,Bucharest,Romania,
King's Oak British International School,Bucharest,Romania,
King`s Oak British International School,Bucharest,Romania,
Liceul Teoretic Scoala Europeana Bucuresti,,Romania,
Lycée Francais Anna de Noailles,Bucharest,Romania,
Maria International School,Bucharest,Romania,
Maria International School of Bucharest,Bucharest,Romania,
Mateas Foundation - Cambridge School of Bucharest,Bucharest,Romania,
Royal School In Transylvania,Cluj-Napoca,Romania,
Verita International School,Bucharest,Romania,
Alabuga International School,,Russia,
Alabuga International School Tatarstan,Yelabuga,Russia,
Anglo American School of Moscow,Moscow,Russia,
Anglo-American School of Moscow,Moscow,Russia,
"British International School 3, Moscow",Moscow,Russia,
British International School Moscow,Moscow,Russia,
Brookes Moscow,Moscow,Russia,
Children of the World,Moscow,Russia,
English International School Moscow (Magister),Moscow,Russia,
"English International School, Moscow West/ South West",Moscow,Russia,
English Nursery and Primary School,Moscow,Russia,
European Gymnasium,,Russia,
Far Eastern Centre of Continuing Education (International Linguistic School),,Russia,
Integration XXI Century International School,,Russia,
International School in Novie Veshki,,Russia,
International School of Herzen University,,Russia,
International School of Moscow,Moscow,Russia,
Kaluga International School,,Russia,
Letovo School,Moscow,Russia,
Riverside school,Moscow,Russia,
Specialized English Language School 7,,Russia,
StudyLab School,Moscow,Russia,
The English International School,Moscow,Russia,
The International Gymnasium of the Skolkovo Innovation Center,,Russia,
The International School of Moscow,Moscow,Russia,
The International School of Moscow - Rosinka Campus,Moscow,Russia,
Green Hills Academy,Kigali,Rwanda,
International School of Kigali,Kigali,Rwanda,
Kigali International Community School,Kigali,Rwanda,
AL FARIS International School,,Saudi Arabia,
Abdulaziz International School Al-Sulaimaniah,Riyadh,Saudi Arabia,
Adhwaa Multinational Academy,Riyadh,Saudi Arabia,
Advanced Learning Schools,Riyadh,Saudi Arabia,
Al Alameen International School,Riyadh,Saudi Arabia,
Al Faris International School,Riyadh,Saudi Arabia,
Al Forsan International School,Riyadh,Saudi Arabia,
Al Hussan International School Riyadh,Riyadh,Saudi Arabia,
Al Noor International School,Riyadh,Saudi Arabia,
Al Oruba International School,Riyadh,Saudi Arabia,
Al Waha International School,Jeddah,Saudi Arabia,
Al-Bassam Schools,Dammam,Saudi Arabia,
Al-Hussan International School-Khobar,,Saudi Arabia,
Al-Kawthar International Schools,,Saudi Arabia,
Al-Rissalah International School,Riyadh,Saudi Arabia,
Al-Yasmin International School,Riyadh,Saudi Arabia,
Almeena International School,Riyadh,Saudi Arabia,
American International School Riyadh,Riyadh,Saudi Arabia,
Arab International Schools,Jeddah,Saudi Arabia,
Arrowad International School,Riyadh,Saudi Arabia,
Bright Future International School,Riyadh,Saudi Arabia,
British International School Al Khobar,Al Khobar,Saudi Arabia,
British International School Riyadh,Riyadh,Saudi Arabia,https://inteachers.net/school/bisr
Creative Stars International School,Riyadh,Saudi Arabia,
Creativity International School,Riyadh,Saudi Arabia,
Delta School,Riyadh,Saudi Arabia,
Deutsche Internationale Schule Riad,Riyadh,Saudi Arabia,
Dhahran British Grammar School,Al Khobar,Saudi Arabia,
Dhahran Elementary Middle School,Al Khobar,Saudi Arabia,
Dome International Schools,Riyadh,Saudi Arabia,
Ecole Francaise Internationale de Riyad,Riyadh,Saudi Arabia,
Education Gate International School,Riyadh,Saudi Arabia,
Education International School,Riyadh,Saudi Arabia,
ISG Dammam School,Dammam,Saudi Arabia,
ISG Jubail School,Jubail,Saudi Arabia,
International Programs School,,Saudi Arabia,
International Schools Group - Jubail,,Saudi Arabia,
Jawahir Al Riyadh International School,Riyadh,Saudi Arabia,
Jeddah Knowledge International School,,Saudi Arabia,
Jeddah Prep And Grammar School,Jeddah,Saudi Arabia,
Jeddah Prep and Grammar School,,Saudi Arabia,
Jubail International School,Jubail,Saudi Arabia,
Khaled International School,Riyadh,Saudi Arabia,
King Faisal School,Riyadh,Saudi Arabia,
King’s College Riyadh,,Saudi Arabia,
Manarat Al Riyadh International School,Riyadh,Saudi Arabia,
Modern International School,Riyadh,Saudi Arabia,
Multinational School,Riyadh,Saudi Arabia,
My Little School International,Riyadh,Saudi Arabia,
Nada International School,Al-Ahsa,Saudi Arabia,
Nahda Academy,,Saudi Arabia,
"NÃ¼n Academy Kunskapsskolan, Jeddah",Jeddah,Saudi Arabia,
Nün Academy,Jeddah,Saudi Arabia,
Qimam El-Hayat International School,Riyadh,Saudi Arabia,
Rowad Al Khaleej International School,Riyadh,Saudi Arabia,
Sands International School,Riyadh,Saudi Arabia,
Saud International School,Riyadh,Saudi Arabia,
Success International School,Riyadh,Saudi Arabia,
Sunrise International School,Riyadh,Saudi Arabia,
Tabuk Primary School,,Saudi Arabia,
The British International School of Jeddah,,Saudi Arabia,
The KAUST School,Jeddah,Saudi Arabia,
The Knowledge Bridges International School,Riyadh,Saudi Arabia,
The Learning Caravan International School,Riyadh,Saudi Arabia,
Yara International School,Riyadh,Saudi Arabia,
Yusr International Schools,,Saudi Arabia,
Enko Dakar International School,,Senegal,
Enko Waca International School,,Senegal,
IQRA Bilingual Academy,Dakar,Senegal,
International School Dakar,Dakar,Senegal,
International School of Dakar,,Senegal,
International School of Belgrade,,Serbia,
PRIMA International School,Belgrade,Serbia,
International School Seychelles,Victoria,Seychelles,
Vijay International School,Praslin,Seychelles,
American International School of Freetown,Freetown,Sierra Leon,
British International School And Montessori Education Freetown,Freetown,Sierra Leon,
British International School and Montessori Education,Freetown,Sierra Leon,
5 Steps Academy,Singapore,Singapore,
ACS (International),Singapore,Singapore,
ACS (International) Singapore,Singapore,Singapore,
"ACS (International), Singapore",,Singapore,
ACS International Singapore,Singapore,Singapore,
Ascensia International School,,Singapore,
Australian International School,Singapore,Singapore,
Brighton College (Singapore),Singapore,Singapore,
"Canadian International School, Lakeside Campus",,Singapore,
Chatsworth International School,Singapore,Singapore,
